,index,Processed Tweets
0,0,nice onlin class save money ver trsr nct boyz retail retail
1,1,onlin class pend activ
2,2,school nasad onlin class hahahaha
3,3,guy hard familiar onlin class haha
4,4,onlin class fuck sick
5,5,lord onlin class handl
6,6,turk angri onlin class sem finish hahaha
7,7,grade onlin class naonsaaanamannee
8,8,onlin class held crazi ltltlt
9,9,onlin class semest haha luck bact
10,10,unluckiest batch onlin class improv tssk tire jusko broken
11,11,onlin class
12,12,lord onlin class hope teacher troubl
13,13,graduat colleg onlin class
14,14,onlin nihongo class
15,15,ipad mom onlin class kdrama hahaha alfonsa yell spendthrift
16,16,hope choos onlin class onlin busi
17,17,hope choos onlin class onlin busi god bless
18,18,onlin classmp
19,20,classmat stop school onlin class
20,21,black onlin class
21,22,musta onlin class dol raman deep
22,23,deal sandugo sandal jog think shoe onlin class note sandugo design hike walk guy
23,24,advanc pay wifi internet access hous brother anona continu onlin class
24,25,colleg student attend onlin class busi person studi
25,26,excus earn money onlin class covid chang live surviv crisi hope learn lot bless hope
26,27,stress sincefrom gimilagronga propos simba kadlawon saturday onlin class groceri haaayyysttt
27,28,hope asap onlin class brother
28,29,onlin class februari
29,30,hard learn program onlin class
30,31,attend onlin class
31,32,feel learn onlin class happi allpass
32,33,learn onlin class
33,34,hold cell phone hahahaha sad onlin class onlin brother chill mom
34,35,suicid stupid stupid heartless crazi bad funni student commit suicid onlin class promot
35,36,yoga class tough challeng honor practic onlin offlin stay safe healthi enjoy season ferdzflowyoga vinyasaflow yoga
36,37,attend onlin class bore
37,38,miho lesson ngayong onlin class
38,39,bought laptop onlin class play valor hahahahah
39,40,jusko mag brownout kiamba onlin class heavi rain yesterday
40,42,onlin class japan sem atay paenrol inyu uyyy hahahahaa pist
41,43,time electr onlin class tomorrow
42,44,hahahahaaha feel class bath norm onlin class
43,45,imagin sale lasagna pasta sweet onlin class parent load money happi heart rejoic rememb start dream
44,46,afternoon internet month request repair receiv updat mother brother internet connect onlin class
45,47,onlin class tonight
46,48,invit onlin class
47,49,relief life easier onlin class school reli yike
48,50,morn child hous play cover court dahoa compound paraport gent noisi onlin teach class
49,51,lord onlin class handl shsgsfshsfhgdhjvg
50,52,final finish act onlin class januari sem bwahahahahahahahahaha
51,53,built game excus parent answer onlin class hahaha
52,54,onlin class delet hahahahahaha
53,55,wake morn babi wake onlin class morn
54,56,onlin class hey
