,Date,User,Tweet,Likes,Retweets,Hashtags,Language
0,2020-12-30 13:53:43+00:00,clydebaltz,"""ganda talaga pag online class kase makakatipid tayo""

Me: all ver trsr, mine pc, nct, the boyz, tingi tingi etc...",1,0,,tl
1,2020-12-30 12:03:29+00:00,Shuwbeeeeee,Online class* Dami pang pending activities https://t.co/oyPIj8lrGA,0,0,,en
2,2020-12-30 08:29:38+00:00,daksprincess,Mag 2021 na back to school nasad ay bck to online class diay hahahaha,0,0,,tl
3,2020-12-30 07:18:21+00:00,caamsahamnida,"Wala dyud ko kaila aning mga ga ""hi maam"" sakoa ba. Jusko kalisod basta online class, maglisod ta og familiarize haha",0,0,,tl
4,2020-12-30 06:15:09+00:00,CydLouie_,Sobrang fucked up ng online class. Naiinis na 'ko.,6,0,,tl
5,2020-12-29 19:11:27+00:00,Piiiyayaaa,Thank you Lord 🙏🏻 kinaya kahit online class 😘❤️,5,0,,en
6,2020-12-29 16:50:13+00:00,mj_alferez1,Masuko jud ning turko ug di nani kita nakus balay 😂 kay hapit na jud mahoman ang online class nga 1st sem ! Hahaha,0,0,,tl
7,2020-12-29 13:02:42+00:00,TagsWhatILike,Nganong gagmay akoang grades pag ONLINE CLASS NAONSAAAANAMANNEEEEEEE⁉️⁉️,0,0,,tl
8,2020-12-28 09:29:04+00:00,piyaaeiou,PLEASE LANG KUNG ONLINE CLASS GIHAPON ANG 2021 KAY MABUANG NAKO :&lt;&lt;&lt;,1,0,,tl
9,2020-12-27 11:00:48+00:00,ErcsMaldita,"Hi, kanang full online class diay mi karong second sem diay. Haha Good Luck Para and Bacte",1,0,,tl
10,2020-12-27 10:05:16+00:00,JohnLloydBaguio,"Ambot oy masulti najud nako na pinaka malas jud na batch amoa, online class will not help us to improve tssk kapoy pero bugok si Sec. jusko",2,0,,tl
11,2020-12-27 08:39:48+00:00,Manalo_EarlJan,"Online class pa din daw sa 2021??
Pwede po bang tumigil??🙂",1,0,,tl
12,2020-12-27 00:34:54+00:00,SpadeY1eeSh,"Lord, ma pa online class o dili, hinaot unta na dili jud labad ang mga maestra uwu 😭",0,0,,tl
13,2020-12-26 13:02:38+00:00,jowbingbong,Mura'g mugraduate ko'g college nga online class gihapon.,7,0,,tl
14,2020-12-25 18:44:20+00:00,sh11te,online nihongo class?? 🤔,0,0,,en
15,2020-12-25 11:18:27+00:00,LouellaVanessa,"Me: Ma mupalit ko Ipad ha
Mama: Sige nak! Para online class nimo?
Me: Di ma para sa ako kdrama hahaha

Ug nag yawyaw si Alfonsa nga gastador kuno kaayo ko 😂😂",7,0,,tl
