,Date,User,Tweet,Likes,Hashtags,Language
0,2021-12-30 21:01:53+00:00,emeeny,is still gradually increasing. Ayoko na po matulad ang 2022 kagaya ng Q1 ng 2020 na huli na tayo nagsara/ strict ng border gayung Dec 2019 palang eh may cases na ng Covid-19 sa Tsina. Pagod na po ako mag-lockdown. I have 2 kids. Gr 3 online class at pandemic baby. Sawa na po kami,0,,tl
1,2021-12-30 17:47:20+00:00,la_graciaa,@aimie1109 ako din kaso back to online class nga lang shet yawqna HAHAHAHAHAHAHA LOL,1,,tl
2,2021-12-29 15:50:25+00:00,saimallow,"For some reasons, this year has been, for me, the fastest to go by. Dahil ata wala masyadong ganap sa life ko other than online class and work from home. 🥴",0,,en
3,2021-12-29 11:08:55+00:00,a7dcmanv37,Online class pa tangina walang top performing school amp. https://t.co/mFlwMEoMJS,0,,tl
4,2021-12-28 16:19:53+00:00,ArvinOcampo13,"#NahanapNaSiArvin NAHANAP KONA SARILI KO, NEED KO PANG ONLINE CLASS HHAHHAAHAHH https://t.co/w34sb9dOEQ",2,['NahanapNaSiArvin'],tl
5,2021-12-28 14:11:51+00:00,amourkeeyy,I survived my college life without laptop and I struggle a lot especially now that it's pandemic tapos online class pa 🤦 Ngayon may laptop na ako 🥺 THANKYOU LORD! For preparation na rin Baka virtual OJT :&lt;Tapos start na rin gumawa ng financial reports sa SK 🙂 LAST SEM NALANG🥺,5,,en
6,2021-12-28 13:06:42+00:00,ArvinOcampo13,Ehem pang online class lang huhu https://t.co/Pb4BhAuPEw,0,,tl
7,2021-12-25 02:35:02+00:00,SiAntithesis,"Peste ning mga online seller ug powerbank. Maka trigger ug trust issues.
""Orig"" nlng daw available. So meaning naay Fake or Class A.
Another, ""No Warranty"". Bayad ka tapos if mugana or di is another issue. AND if imong testingan, double ang price. Putang ina #cebu #bisaya",0,"['cebu', 'bisaya']",tl
8,2021-12-24 04:40:47+00:00,ijemieveive,from 12am-8am duty to 9am-4pm online class. Hooray! Way tulogay self? Laban studyante/trabahante 😂,0,,en
9,2021-12-23 02:43:10+00:00,mariamichellat,@kamyllejan hahahahah sana all naka avail. Online class mo?,1,,tl
10,2021-12-22 15:17:47+00:00,MusicgeekGeron,@spankmehardbabe HAHAHA. Parang online class. CHZ,1,,tl
11,2021-12-21 22:47:02+00:00,Shana13551101,"Pait pas panyawan ning online class, ningkamot ratag ato.",0,,tl
12,2021-12-21 09:27:15+00:00,dominicjoeg_,unfortunately mas prefer ng ibang grad students ang online class :( wala na ata akong chance makapasok ng school 😭🥲,0,,tl
13,2021-12-20 07:23:17+00:00,0reooooooooo,May f to f na sana. Katamad na sobra ang online class 😔,0,,tl
14,2021-12-20 06:22:32+00:00,AngeloVallo0,maige nalaang online class parin next sem HSHSHAHAHAHA,0,,tl
15,2021-12-18 01:03:49+00:00,jghamoranto,"My mom be like: naiintindihan ko yang hirap mo sa online class
Pero magagalit kapag tulog pa ako ng 9am kasi natulog ako 4hrs ago. 🙄",4,,tl
16,2021-12-17 14:54:12+00:00,yourninay,Online class raw po siya 😁 https://t.co/baVjgyogQt,0,,tl
17,2021-12-16 01:30:49+00:00,i5878463xx,xingqiu niyo pagod na sa online class https://t.co/H41X21LMHl,5,,tl
