,Date,User,Tweet,Likes,Retweets,Hashtags,Language
0,2022-12-07 22:00:00+00:00,ActsReviewCtr,"Congratulations to BEATRICE ISABELLE UY from 2022 Online Class Batch 3 for passing her ASCPi exams!

Enroll in our ASCPi / AMT / DoH-AD Online Review Classes now and set yourself apart from the competition.
.
https://t.co/PeEgRlXkN2… https://t.co/6D781XOISH",1,0,,en
1,2022-12-07 14:44:32+00:00,ActsReviewCtr,"Congratulations to MARIA LOREINA CRUZ from 2022 Online Class Batch 3 for passing her ASCPi exams!

Enroll in our ASCPi / AMT / DoH-AD Online Review Classes now and set yourself apart from the competition.
.
https://t.co/PeEgRlXSCA… https://t.co/I45jRLP405",1,0,,en
2,2022-12-07 10:01:56+00:00,AFManille,"📢 [TRIAL CLASS IN DECEMBER]
Eager to embark on your French adventure but not sure it is for you? Stay home and give it a try online with AFM!
Book a seat👉https://t.co/4Qvo0hL34t

Wed, Dec14, 6PM-8PM
Level: beginner
Duration: 2 hours
Price: 250php

SEE YOU ONLINE 🤓

#AFMTrials https://t.co/2G0qIjnvzw",1,0,['AFMTrials'],en
3,2022-12-07 09:31:03+00:00,ara_d_here,@_artbacccjip ay huhu ga-hotspot man gud ko kay sa laptop ko ga online class kalasag kwarta kaayo ang online ug ftf na set-up juhu,0,0,,tl
4,2022-12-07 08:27:34+00:00,LeenLuckyWins,"Antok na antok akooo, idlip muna tas may online class pa aq mamayaaa",0,0,,tl
5,2022-12-07 08:05:28+00:00,RPNews_Online,"Online class sa food course ng TESDA nagsimula na 
 https://t.co/PoIuRWRObu",0,0,,tl
6,2022-12-07 07:54:35+00:00,xixx_crn,@mjbllns hoi cruxx ko lang kapag online class,0,0,,tl
7,2022-12-07 06:18:02+00:00,acceeexxx_,May online class ako ng 3-5 pm pero sige kasi minsan lang to mag aya sa isang taon HAHAHAHAHA,0,0,,tl
8,2022-12-07 05:19:01+00:00,ImEmerys,"Earthquake:

Onsite class: Suspend class

Online class: Okay, let’s continue our lecture",1,0,,en
9,2022-12-07 03:10:17+00:00,JhaDMabool,sa sasakyan na nagsi attend ng online class para makasama sa swimming,0,0,,tl
10,2022-12-07 03:01:22+00:00,OnlineClassNars,@mabinipau CONGRATULATIONS!!!,0,0,,en
11,2022-12-07 03:00:16+00:00,OnlineClassNars,@atemongPT Still congratulations for fighting!! You did well!,0,0,,en
12,2022-12-07 02:59:48+00:00,OnlineClassNars,@shielegaspi CONGRATULATIONS!!!,1,0,,en
13,2022-12-07 02:59:21+00:00,OnlineClassNars,@PTrepresent CONGRATULATIONS!!!,0,0,,en
14,2022-12-07 02:59:14+00:00,OnlineClassNars,@chaPTRP CONGRATULATIONS!!!,0,0,,en
15,2022-12-07 02:59:06+00:00,OnlineClassNars,@studymakki CONGRATULATIONS!!!,0,0,,en
16,2022-12-07 02:59:00+00:00,OnlineClassNars,@chi_studies CONGRATULATIONS!!!,1,0,,en
17,2022-12-07 02:58:50+00:00,OnlineClassNars,@chapter017 CONGRATULATIONS!!!,1,0,,en
18,2022-12-07 02:58:45+00:00,OnlineClassNars,@BiancaOller CONGRATULATIONS!!!,0,0,,en
19,2022-12-07 02:56:29+00:00,OnlineClassNars,@hypecookiez THANK YOU SO MUCH 🥹❤️,0,0,,en
20,2022-12-07 02:56:19+00:00,OnlineClassNars,@coffialy GAWIN NATING MOTIVATION! We’ll get that license!!!,0,0,,en
21,2022-12-07 02:17:56+00:00,rhaveeeee,@twishatwix Dzaee giatayyy HAHAHHAHAHA nag pa alarm kog 8 kay online class namo 8 nya naka tulog kog balik nya  ni alas 9 na HAHAHHAHAHAHAH may gani wala nadayun ang alas 8 na gmeet HAHAHHAHAHAHAHA timing kaayo pag mata nako is wala pagyud nag sugod ang meet HAHAHAHHAHAHAHAHAHAHAHAHAHAHHAHAA,1,0,,tl
22,2022-12-07 01:30:43+00:00,robinpoisonn,zombie mode nanaman haba ng online class,0,0,,tl
23,2022-12-07 01:15:14+00:00,annskie134T0Y,"As of this now, nothing is more frustrating than having an online class with the internet bugging.😭",0,0,,en
24,2022-12-07 00:30:49+00:00,adeline_001,Ano na @PLDT_Cares @PLDTHome @pldt 17hours na kameng walang connection.. Yung mga may online class hindi makaattend ng klase. Ako na naka work from home e absent kagabi. Anong balak nyo?,0,0,,tl
25,2022-12-06 22:52:48+00:00,ActsReviewCtr,"Congratulations to CZARINA MACASAQUIT from 2022 Online Class Batch 1 for passing her ASCPi exams!

Enroll in our ASCPi / AMT / DoH-AD Online Review Classes now and set yourself apart from the competition.
.
https://t.co/PeEgRmeVEA… https://t.co/CdhwmvDuQd",0,0,,en
26,2022-12-06 21:25:34+00:00,natanugg,not my professor giving me a 75 out of 100 for attendance for a completely online class??? I would have had an A im so annoyed,1,0,,en
27,2022-12-06 17:40:01+00:00,AlburoNataniel,online class nanaman :((,0,0,,en
28,2022-12-06 17:17:13+00:00,krncstnaxx,"overtime na naman online class, antok na antok na koooo 😭😭😭😭",0,0,,tl
29,2022-12-06 14:48:30+00:00,leyooooV,"@airchiverys unlike before, ginagawa natin sa class hours ang activities pero now after online class, paguwe may gagawin pa rin TT",2,0,,tl
30,2022-12-06 13:31:59+00:00,krischarie,Last online meeting for Criminal Law 1 class 💜 https://t.co/y78NG7x1Co,1,0,,en
31,2022-12-06 13:29:12+00:00,_panuelosssss,"Since day 1, I've known I'm with the right people. From our online class struggles, to masasayang bondings, kasama pati sa personal struggle. Mukha lang kaming laging naalis pero masipag gumawa ng to do. 😎🫶",5,0,,tl
32,2022-12-06 13:09:26+00:00,caaathbriones,teka online class din next week ?😭 ayoko na,0,0,,tl
33,2022-12-06 12:32:14+00:00,ajmadlife,Pag nawawalan ka pala motivation masarap tumingin sa mga card mo dati. Tipong achievement ko 'to dahil alam kong pinaghirapan ko 'to hindi dahil sa online class lang. https://t.co/aLHYVlp9hd,3,0,,tl
34,2022-12-06 11:17:49+00:00,xialuvzs,BRING BACK ONLINE CLASS,1,0,,en
35,2022-12-06 08:35:07+00:00,JmBuhay,Higa buong Online class HAHAHAHHAHAHAAH,1,0,,tl
36,2022-12-06 08:31:15+00:00,OnlineClassNars,@Ki_anneee Thank you 🥹🫶🏼,1,0,,en
37,2022-12-06 08:30:52+00:00,varsitarianust,"For Term 2 of AY 2022-2023, UST will adopt the “best combination” of onsite and online class hours, Vice Rector for Academic Affairs Prof. Cheryl Peralta told the Varsitarian.",68,6,,en
